IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,cycleN,correct
2749,t,bearteddy16,56,neu,03,1,19,3,60,0,0
2398,t,compass1,39,pos,03,1,19,3,61,0,1
9908,b,binoculars14,13,neg1,03,1,19,3,62,0,1
1920,filler,backpack6,34,pos,03,1,19,3,63,0,0
2396,filler,abacus9,54,neu,03,1,19,3,64,0,1
9425,nt,broom11,26,neg2,03,1,19,3,65,0,0
7057,t,nunchaku16,59,neu,03,1,19,3,66,0,0
2373,t,microscope1,38,pos,03,1,19,3,67,0,1
2308,t,microwave1,49,neu,03,1,19,3,68,0,0
2345.1,nt,tape8,16,neg2,03,1,19,3,69,0,1
9187,b,cheese8,8,neg1,03,1,19,3,70,0,0
6520,b,doorknob4,5,neg1,03,1,19,3,71,0,1
2683,b,scale13,0,neg1,03,1,19,3,72,0,1
9290,b,hairbrush9,9,neg1,03,1,19,3,73,0,0
1710,t,rollerskates16,33,pos,03,1,19,3,74,0,1
2340,filler,decorativescreen10,37,pos,03,1,19,3,75,0,1
2870,t,umbrella2,57,neu,03,1,19,3,76,0,0
1340,t,seashell9,30,pos,03,1,19,3,77,0,1
2456,nt,tent4,17,neg2,03,1,19,3,78,0,0
9321,nt,fan2,25,neg2,03,1,19,3,79,0,0
9921,nt,handbag3,29,neg2,03,1,19,3,80,0,0
8120,t,cookpot16,44,pos,03,1,19,3,81,0,0
7230,filler,lock14,42,pos,03,1,19,3,82,0,0
3500,nt,coin15,21,neg2,03,1,19,3,83,0,1
3195,nt,ringbinder8,20,neg2,03,1,19,3,84,0,1
2750,b,cookie1,1,neg1,03,1,19,3,85,0,0
2590,nt,windchime16,19,neg2,03,1,19,3,86,0,0
2390,filler,cushion2,53,neu,03,1,19,3,87,0,1
3216,b,turtle3,2,neg1,03,1,19,3,88,0,1
2273,t,suitcase9,48,neu,03,1,19,3,89,0,1
2980,filler,dresser12,58,neu,03,1,19,3,90,0,0
1601,t,toothpaste14,31,pos,03,1,19,3,91,0,1
2490,nt,garbagetrash14,18,neg2,03,1,19,3,92,0,1
9415,b,dumbbell0,10,neg1,03,1,19,3,93,0,1
9301,nt,camera7,24,neg2,03,1,19,3,94,0,1
9428,b,gift15,11,neg1,03,1,19,3,95,0,0
9909,b,hanger9,14,neg1,03,1,19,3,96,0,1
2383,filler,cookingpan3,52,neu,03,1,19,3,97,0,0
2205,nt,button5,15,neg2,03,1,19,3,98,0,1
7325,t,frisbee0,43,pos,03,1,19,3,99,0,1
1659,t,bonzai14,32,pos,03,1,19,3,100,0,1
9599,nt,vase15,27,neg2,03,1,19,3,101,0,0
2487,t,butterfly8,55,neu,03,1,19,3,102,0,0
9611,b,powerstrip12,12,neg1,03,1,19,3,103,0,1
2091,filler,hourglass16,35,pos,03,1,19,3,104,0,0
2530,t,exercise_equipment5,40,pos,03,1,19,3,105,0,1
2154,filler,balloon10,36,pos,03,1,19,3,106,0,0
2102,filler,lei9,46,neu,03,1,19,3,107,0,1
3300,b,cheesegrater14,3,neg1,03,1,19,3,108,0,1
9075,b,frame10,7,neg1,03,1,19,3,109,0,1
9163,nt,stapler5,23,neg2,03,1,19,3,110,0,1
4626,t,chessboard14,41,pos,03,1,19,3,111,0,1
2309,t,pokercard14,50,neu,03,1,19,3,112,0,1
2272,t,tennisracquet7,47,neu,03,1,19,3,113,0,1
6212,b,key3,4,neg1,03,1,19,3,114,0,1
6821,nt,clock1,22,neg2,03,1,19,3,115,0,1
2382,t,calculator3,51,neu,03,1,19,3,116,0,0
9910,nt,scissors5,28,neg2,03,1,19,3,117,0,1
6838,b,bowtie11,6,neg1,03,1,19,3,118,0,1
1303,t,glove6,45,neu,03,1,19,3,119,0,1
9290,b,hairbrush9,9,neg1,03,1,19,3,120,1,1
9921,nt,handbag3,29,neg2,03,1,19,3,121,1,1
2154,filler,balloon10,36,pos,03,1,19,3,122,1,1
1920,filler,backpack6,34,pos,03,1,19,3,123,1,0
2980,filler,dresser12,58,neu,03,1,19,3,124,1,1
9425,nt,broom11,26,neg2,03,1,19,3,125,1,0
2308,t,microwave1,49,neu,03,1,19,3,126,1,0
8120,t,cookpot16,44,pos,03,1,19,3,127,1,1
2091,filler,hourglass16,35,pos,03,1,19,3,128,1,1
9187,b,cheese8,8,neg1,03,1,19,3,129,1,0
7230,filler,lock14,42,pos,03,1,19,3,130,1,0
2456,nt,tent4,17,neg2,03,1,19,3,131,1,1
2590,nt,windchime16,19,neg2,03,1,19,3,132,1,1
7057,t,nunchaku16,59,neu,03,1,19,3,133,1,1
2749,t,bearteddy16,56,neu,03,1,19,3,134,1,0
2487,t,butterfly8,55,neu,03,1,19,3,135,1,1
9599,nt,vase15,27,neg2,03,1,19,3,136,1,1
9321,nt,fan2,25,neg2,03,1,19,3,137,1,1
9428,b,gift15,11,neg1,03,1,19,3,138,1,1
2382,t,calculator3,51,neu,03,1,19,3,139,1,1
2383,filler,cookingpan3,52,neu,03,1,19,3,140,1,1
2750,b,cookie1,1,neg1,03,1,19,3,141,1,1
2870,t,umbrella2,57,neu,03,1,19,3,142,1,1
9187,b,cheese8,8,neg1,03,1,19,3,143,2,1
9425,nt,broom11,26,neg2,03,1,19,3,144,2,1
2749,t,bearteddy16,56,neu,03,1,19,3,145,2,1
1920,filler,backpack6,34,pos,03,1,19,3,146,2,1
2308,t,microwave1,49,neu,03,1,19,3,147,2,1
7230,filler,lock14,42,pos,03,1,19,3,148,2,1
