IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order
1920,filler,backpack6,34,pos,03,1,19,3,0
2396,filler,abacus9,54,neu,03,1,19,3,1
2390,filler,cushion2,53,neu,03,1,19,3,2
2340,filler,decorativescreen10,37,pos,03,1,19,3,3
2383,filler,cookingpan3,52,neu,03,1,19,3,4
3216,b,turtle3,2,neg1,03,1,19,3,5
9415,b,dumbbell0,10,neg1,03,1,19,3,6
9321,nt,fan2,25,neg2,03,1,19,3,7
2382,t,calculator3,51,neu,03,1,19,3,8
9599,nt,vase15,27,neg2,03,1,19,3,9
9425,nt,broom11,26,neg2,03,1,19,3,10
2308,t,microwave1,49,neu,03,1,19,3,11
2490,nt,garbagetrash14,18,neg2,03,1,19,3,12
2456,nt,tent4,17,neg2,03,1,19,3,13
6520,b,doorknob4,5,neg1,03,1,19,3,14
2590,nt,windchime16,19,neg2,03,1,19,3,15
8120,t,cookpot16,44,pos,03,1,19,3,16
2749,t,bearteddy16,56,neu,03,1,19,3,17
9301,nt,camera7,24,neg2,03,1,19,3,18
3500,nt,coin15,21,neg2,03,1,19,3,19
9910,nt,scissors5,28,neg2,03,1,19,3,20
2309,t,pokercard14,50,neu,03,1,19,3,21
6212,b,key3,4,neg1,03,1,19,3,22
1340,t,seashell9,30,pos,03,1,19,3,23
9909,b,hanger9,14,neg1,03,1,19,3,24
9163,nt,stapler5,23,neg2,03,1,19,3,25
2530,t,exercise_equipment5,40,pos,03,1,19,3,26
9187,b,cheese8,8,neg1,03,1,19,3,27
1659,t,bonzai14,32,pos,03,1,19,3,28
4626,t,chessboard14,41,pos,03,1,19,3,29
2487,t,butterfly8,55,neu,03,1,19,3,30
3300,b,cheesegrater14,3,neg1,03,1,19,3,31
2750,b,cookie1,1,neg1,03,1,19,3,32
3195,nt,ringbinder8,20,neg2,03,1,19,3,33
9908,b,binoculars14,13,neg1,03,1,19,3,34
6838,b,bowtie11,6,neg1,03,1,19,3,35
2272,t,tennisracquet7,47,neu,03,1,19,3,36
6821,nt,clock1,22,neg2,03,1,19,3,37
2398,t,compass1,39,pos,03,1,19,3,38
9290,b,hairbrush9,9,neg1,03,1,19,3,39
9428,b,gift15,11,neg1,03,1,19,3,40
7057,t,nunchaku16,59,neu,03,1,19,3,41
7325,t,frisbee0,43,pos,03,1,19,3,42
2345.1,nt,tape8,16,neg2,03,1,19,3,43
9075,b,frame10,7,neg1,03,1,19,3,44
9611,b,powerstrip12,12,neg1,03,1,19,3,45
1710,t,rollerskates16,33,pos,03,1,19,3,46
2373,t,microscope1,38,pos,03,1,19,3,47
2273,t,suitcase9,48,neu,03,1,19,3,48
2870,t,umbrella2,57,neu,03,1,19,3,49
2205,nt,button5,15,neg2,03,1,19,3,50
1601,t,toothpaste14,31,pos,03,1,19,3,51
9921,nt,handbag3,29,neg2,03,1,19,3,52
1303,t,glove6,45,neu,03,1,19,3,53
2683,b,scale13,0,neg1,03,1,19,3,54
2091,filler,hourglass16,35,pos,03,1,19,3,55
7230,filler,lock14,42,pos,03,1,19,3,56
2980,filler,dresser12,58,neu,03,1,19,3,57
2102,filler,lei9,46,neu,03,1,19,3,58
2154,filler,balloon10,36,pos,03,1,19,3,59
