IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,val,aro,correct
1303,filler,doorknob4,45,neu,14,1,23,2,907,5,1,1
2340,filler,turtle3,37,pos,14,1,23,2,908,5,1,1
2273,filler,ringbinder8,48,neu,14,1,23,2,909,5,1,1
2487,filler,broom11,55,neu,14,1,23,2,910,5,1,1
2396,filler,lei9,54,neu,14,1,23,2,911,5,1,1
1340,t,gift15,30,pos,14,1,23,2,912,5,1,0
6821,nt,camera7,22,neg2,14,1,23,2,913,5,1,1
3195,nt,backpack6,20,neg2,14,1,23,2,914,5,1,0
1659,t,tennisracquet7,32,pos,14,1,23,2,915,5,1,1
9187,b,scissors5,8,neg1,14,1,23,2,916,5,1,1
6212,b,stapler5,4,neg1,14,1,23,2,917,5,1,0
9290,b,hanger9,9,neg1,14,1,23,2,918,5,1,1
9908,b,handbag3,13,neg1,14,1,23,2,919,5,1,1
1920,t,bearteddy16,34,pos,14,1,23,2,920,5,1,0
9909,b,chessboard14,14,neg1,14,1,23,2,921,5,1,0
2390,t,nunchaku16,53,neu,14,1,23,2,922,5,1,1
9301,nt,button5,24,neg2,14,1,23,2,923,2,1,1
2590,nt,toothpaste14,19,neg2,14,1,23,2,924,4,1,1
6838,b,frisbee0,6,neg1,14,1,23,2,925,5,1,0
9425,nt,key3,26,neg2,14,1,23,2,926,5,1,1
3300,b,bowtie11,3,neg1,14,1,23,2,927,5,1,1
9321,nt,tent4,25,neg2,14,1,23,2,928,3,1,1
2456,nt,lock14,17,neg2,14,1,23,2,929,1,1,0
2383,t,frame10,52,neu,14,1,23,2,930,5,1,0
2154,t,cookpot16,36,pos,14,1,23,2,931,5,1,0
9415,b,umbrella2,10,neg1,14,1,23,2,932,3,1,1
2308,t,microscope1,49,neu,14,1,23,2,933,5,1,1
7230,t,binoculars14,42,pos,14,1,23,2,934,5,1,1
3500,nt,cookie1,21,neg2,14,1,23,2,935,5,1,0
9163,nt,cushion2,23,neg2,14,1,23,2,936,5,1,1
2750,b,rollerskates16,1,neg1,14,1,23,2,937,5,1,1
3216,b,balloon10,2,neg1,14,1,23,2,938,5,1,1
8120,t,windchime16,44,pos,14,1,23,2,939,5,1,1
2980,t,dresser12,58,neu,14,1,23,2,940,5,1,0
7057,t,pokercard14,59,neu,14,1,23,2,941,5,1,1
7325,t,glove6,43,pos,14,1,23,2,942,5,1,0
2272,t,exercise_equipment5,47,neu,14,1,23,2,943,5,1,1
2683,b,powerstrip12,0,neg1,14,1,23,2,944,5,1,0
9921,nt,fan2,29,neg2,14,1,23,2,945,1,5,1
2102,t,dumbbell0,46,neu,14,1,23,2,946,5,1,1
9910,nt,vase15,28,neg2,14,1,23,2,947,3,2,0
2345.1,nt,garbagetrash14,16,neg2,14,1,23,2,948,5,1,1
9075,b,cookingpan3,7,neg1,14,1,23,2,949,3,2,1
6520,b,scale13,5,neg1,14,1,23,2,950,3,2,1
2373,t,abacus9,38,pos,14,1,23,2,951,5,1,1
2205,nt,hairbrush9,15,neg2,14,1,23,2,952,3,1,1
2490,nt,butterfly8,18,neg2,14,1,23,2,953,5,1,1
9428,b,tape8,11,neg1,14,1,23,2,954,3,2,1
9599,nt,compass1,27,neg2,14,1,23,2,955,3,2,1
2091,t,bonzai14,35,pos,14,1,23,2,956,5,1,1
2382,t,calculator3,51,neu,14,1,23,2,957,5,1,0
2309,t,coin15,50,neu,14,1,23,2,958,5,1,1
2870,t,cheese8,57,neu,14,1,23,2,959,5,1,1
2530,t,suitcase9,40,pos,14,1,23,2,960,5,1,1
9611,b,hourglass16,12,neg1,14,1,23,2,961,1,3,1
2749,filler,decorativescreen10,56,neu,14,1,23,2,962,5,1,1
4626,filler,cheesegrater14,41,pos,14,1,23,2,963,3,1,1
1710,filler,clock1,33,pos,14,1,23,2,964,5,1,0
2398,filler,seashell9,39,pos,14,1,23,2,965,5,1,1
1601,filler,microwave1,31,pos,14,1,23,2,966,5,1,0
