IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,correct,RT
8496,post_new,NA,77,pos,14,1,23,2,752,1,1.406316145999881
1659,t,tennisracquet7,32,pos,14,1,23,2,753,1,0.8513056250003501
5621,sub,garbagetrash14,16,pos,14,1,23,2,754,1,1.199238336000235
9290,b,hanger9,9,neg1,14,1,23,2,755,1,1.349368264000077
7405,post_new,NA,87,pos,14,1,23,2,756,1,1.3399112119996062
3216,b,balloon10,2,neg1,14,1,23,2,757,1,0.9744736129996454
3185,post_new,NA,106,neg,14,1,23,2,758,1,0.8548307920000298
2120,post_new,NA,96,neg,14,1,23,2,759,1,0.8885737410000729
5833,sub,compass1,27,pos,14,1,23,2,760,1,0.7619381690001319
9428,b,tape8,11,neg1,14,1,23,2,761,1,0.8901501049995204
2026,post_new,NA,151,neu,14,1,23,2,762,1,1.3815484560000186
8492,sub,key3,26,pos,14,1,23,2,763,0,1.4156756170004883
7230,t,binoculars14,42,pos,14,1,23,2,764,1,0.7990538180001749
9903,post_new,NA,147,neg,14,1,23,2,765,1,0.902020771000025
4612,post_new,NA,78,pos,14,1,23,2,766,1,0.5835615960004361
2091,t,bonzai14,35,pos,14,1,23,2,767,1,0.6633341280003151
6571,post_new,NA,116,neg,14,1,23,2,768,1,1.1705259860000297
2456,nt,lock14,17,neg2,14,1,23,2,769,1,0.8375204409994694
8120,t,windchime16,44,pos,14,1,23,2,770,1,0.6201923600001464
9332,post_new,NA,131,neg,14,1,23,2,771,1,0.6952150940005595
2208,sub,button5,24,pos,14,1,23,2,772,1,0.9497391969998716
1463,sub,microscope1,49,pos,14,1,23,2,773,1,0.8293709009994927
7580,sub,glove6,43,pos,14,1,23,2,774,0,0.9777939710002101
9921,nt,fan2,29,neg2,14,1,23,2,775,1,0.7495691679996526
8499,sub,cushion2,23,pos,14,1,23,2,776,1,1.7006123750006736
2382,t,calculator3,51,neu,14,1,23,2,777,1,0.8378189850000126
3300,b,bowtie11,3,neg1,14,1,23,2,778,1,0.7628817340000751
2272,t,exercise_equipment5,47,neu,14,1,23,2,779,1,0.7758755100003327
5731,post_new,NA,172,neu,14,1,23,2,780,1,1.0777659530003803
2388,sub,bearteddy16,34,pos,14,1,23,2,781,1,0.7098743309998099
2530,t,suitcase9,40,pos,14,1,23,2,782,1,0.6610556739997264
9031,post_new,NA,121,neg,14,1,23,2,783,1,0.8482835929999055
2396,filler,lei9,54,neu,14,1,23,2,784,1,0.6500750980003431
9415,b,umbrella2,10,neg1,14,1,23,2,785,1,0.749018029000581
1441,sub,dresser12,58,pos,14,1,23,2,786,1,1.2910768530000496
1303,filler,doorknob4,45,neu,14,1,23,2,787,1,0.6629238440000336
2598,post_new,NA,85,pos,14,1,23,2,788,1,1.1410225659992648
9910,nt,vase15,28,neg2,14,1,23,2,789,1,0.650463614999353
3500,nt,cookie1,21,neg2,14,1,23,2,790,1,0.6702706869991744
9187,b,scissors5,8,neg1,14,1,23,2,791,1,0.7559982779994243
6313,post_new,NA,113,neg,14,1,23,2,792,1,1.866645444999449
1271,post_new,NA,91,neg,14,1,23,2,793,1,0.7292388400001073
2346,post_new,NA,83,pos,14,1,23,2,794,1,0.7994607900000119
2655,sub,vase15,28,pos,14,1,23,2,795,0,0.9998218690006979
2331,post_new,NA,66,pos,14,1,23,2,796,1,0.7548823019997144
9001,post_new,NA,120,neg,14,1,23,2,797,1,0.6533751799997845
1920,t,bearteddy16,34,pos,14,1,23,2,798,1,0.6986275760000353
2030,sub,binoculars14,42,pos,14,1,23,2,799,1,0.8000432860008004
2345.1,nt,garbagetrash14,16,neg2,14,1,23,2,800,1,0.7525961869996536
1340,t,gift15,30,pos,14,1,23,2,801,1,0.6487538889996358
2314,sub,windchime16,44,pos,14,1,23,2,802,0,0.9308121579997533
7057,t,pokercard14,59,neu,14,1,23,2,803,1,0.7287005810003393
9163,nt,cushion2,23,neg2,14,1,23,2,804,1,1.6919265950000408
9599,nt,compass1,27,neg2,14,1,23,2,805,1,0.6566728609996062
4000,post_new,NA,170,neu,14,1,23,2,806,1,0.7788697089999914
9050,post_new,NA,123,neg,14,1,23,2,807,1,1.0555196249997607
7280,sub,suitcase9,40,pos,14,1,23,2,808,1,1.3488955630000419
1650,sub,cookie1,21,pos,14,1,23,2,809,1,0.8481506179996359
9909,b,chessboard14,14,neg1,14,1,23,2,810,1,0.6729660520004472
2594,post_new,NA,74,pos,14,1,23,2,811,1,0.8239092630001323
2032,post_new,NA,152,neu,14,1,23,2,812,1,0.9216237709997586
7325,t,glove6,43,pos,14,1,23,2,813,1,0.762539268999717
5199,post_new,NA,73,pos,14,1,23,2,814,1,1.3348340150005242
2370,sub,pokercard14,59,pos,14,1,23,2,815,1,0.7140109660003873
2590,nt,toothpaste14,19,neg2,14,1,23,2,816,1,0.7510295329993824
4628,sub,cheese8,57,pos,14,1,23,2,817,1,1.266326248999576
9326,post_new,NA,130,neg,14,1,23,2,818,1,0.7209381829998165
4616,sub,dumbbell0,46,pos,14,1,23,2,819,0,0.7388597279996247
2205,nt,hairbrush9,15,neg2,14,1,23,2,820,1,0.700310594000257
8497,sub,abacus9,38,pos,14,1,23,2,821,1,1.2783043149993318
