IAPS,valence,cond,cue,sub,time,order
7440,pos,sub,coin15,7440,0,324
1605,pos,sub,dumbbell0,1605,0,325
4612,pos,sub,rollerskates16,4612,0,326
1731,pos,sub,doorknob4,1731,0,327
5780,pos,sub,clock1,5780,0,328
1463,pos,sub,fan2,1463,0,329
5621,pos,sub,decorativescreen10,5621,0,330
4700,pos,sub,frisbee0,4700,0,331
5833,pos,sub,pokercard14,5833,0,332
2299,pos,sub,abacus9,2299,0,333
1441,pos,sub,powerstrip12,1441,0,334
4599,pos,pre_new,backpack6,4599,0,335
8370,pos,sub,tennisracquet7,8370,0,336
8330,pos,sub,cheese8,8330,0,337
4616,pos,sub,bearteddy16,4616,0,338
2594,pos,sub,cookie1,2594,0,339
2655,pos,pre_new,garbagetrash14,2655,0,340
8210,pos,pre_new,suitcase9,8210,0,341
2370,pos,pre_new,vase15,2370,0,342
7279,pos,sub,binoculars14,7279,0,343
1811,pos,pre_new,ringbinder8,1811,0,344
2224,pos,pre_new,tent4,2224,0,345
2389,pos,pre_new,bonzai14,2389,0,346
1419,pos,sub,dresser12,1419,0,347
2331,pos,sub,butterfly8,2331,0,348
2216,pos,pre_new,handbag3,2216,0,349
1750,pos,sub,lock14,1750,0,350
7405,pos,sub,chessboard14,7405,0,351
2339,pos,sub,exercise_equipment5,2339,0,352
5470,pos,sub,microwave1,5470,0,353
2035,pos,sub,frame10,2035,0,354
4628,pos,sub,stapler5,4628,0,355
2302,pos,sub,bowtie11,2302,0,356
8118,pos,sub,key3,8118,0,357
7280,pos,sub,scissors5,7280,0,358
2208,pos,sub,balloon10,2208,0,359
2158,pos,sub,camera7,2158,0,360
2341,pos,pre_new,button5,2341,0,361
2156,pos,sub,windchime16,2156,0,362
8492,pos,sub,cookpot16,8492,0,363
2391,pos,pre_new,umbrella2,2391,0,364
4614,pos,sub,microscope1,4614,0,365
2314,pos,sub,hairbrush9,2314,0,366
8499,pos,sub,hanger9,8499,0,367
8030,pos,sub,broom11,8030,0,368
5470,pos,sub,microwave1,5470,1,379
5780,pos,sub,clock1,5780,1,380
1731,pos,sub,doorknob4,1731,1,381
8492,pos,sub,cookpot16,8492,1,382
8370,pos,sub,tennisracquet7,8370,1,383
8118,pos,sub,key3,8118,1,384
2208,pos,sub,balloon10,2208,1,385
7405,pos,sub,chessboard14,7405,1,386
1441,pos,sub,powerstrip12,1441,1,387
1419,pos,sub,dresser12,1419,1,388
4628,pos,sub,stapler5,4628,1,389
2035,pos,sub,frame10,2035,1,390
5833,pos,sub,pokercard14,5833,1,391
2314,pos,sub,hairbrush9,2314,1,392
2156,pos,sub,windchime16,2156,1,393
4616,pos,sub,bearteddy16,4616,1,394
2339,pos,sub,exercise_equipment5,2339,1,395
1750,pos,sub,lock14,1750,1,396
4700,pos,sub,frisbee0,4700,1,397
8030,pos,sub,broom11,8030,1,398
2331,pos,sub,butterfly8,2331,1,399
1605,pos,sub,dumbbell0,1605,1,400
8330,pos,sub,cheese8,8330,1,401
7280,pos,sub,scissors5,7280,1,402
2594,pos,sub,cookie1,2594,1,403
4612,pos,sub,rollerskates16,4612,1,404
8499,pos,sub,hanger9,8499,1,405
1463,pos,sub,fan2,1463,1,406
5621,pos,sub,decorativescreen10,5621,1,407
2302,pos,sub,bowtie11,2302,1,408
2158,pos,sub,camera7,2158,1,409
2299,pos,sub,abacus9,2299,1,410
7279,pos,sub,binoculars14,7279,1,411
4614,pos,sub,microscope1,4614,1,412
7440,pos,sub,coin15,7440,1,413
