IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,val,aro,correct
2382,filler,powerstrip12,51,neu,204,1,23,2,261,5,5,1
1920,filler,tape8,34,pos,204,1,23,2,262,7,7,1
1710,filler,binoculars14,33,pos,204,1,23,2,263,9,4,1
2398,filler,chessboard14,39,pos,204,1,23,2,264,4,7,1
2749,filler,key3,56,neu,204,1,23,2,265,5,4,0
2205,nt,gift15,15,neg2,204,1,23,2,266,4,3,1
2683,b,abacus9,0,neg1,204,1,23,2,267,3,7,1
9075,b,nunchaku16,7,neg1,204,1,23,2,268,2,5,1
2091,t,fan2,35,pos,204,1,23,2,269,7,5,1
9921,nt,dresser12,29,neg2,204,1,23,2,270,3,5,1
9908,b,garbagetrash14,13,neg1,204,1,23,2,271,3,7,1
2870,t,cheesegrater14,57,neu,204,1,23,2,272,5,3,1
7325,t,stapler5,43,pos,204,1,23,2,273,8,3,1
7230,t,umbrella2,42,pos,204,1,23,2,274,5,4,1
6212,b,bearteddy16,4,neg1,204,1,23,2,275,6,5,1
7057,t,backpack6,59,neu,204,1,23,2,276,5,5,1
2272,t,broom11,47,neu,204,1,23,2,277,3,5,1
2490,nt,doorknob4,18,neg2,204,1,23,2,278,5,3,1
2308,t,camera7,49,neu,204,1,23,2,279,4,4,1
9425,nt,frisbee0,26,neg2,204,1,23,2,280,3,7,1
2273,t,butterfly8,48,neu,204,1,23,2,281,5,5,1
9910,nt,scissors5,28,neg2,204,1,23,2,282,2,6,1
9301,nt,microscope1,24,neg2,204,1,23,2,283,4,5,1
2102,t,bowtie11,46,neu,204,1,23,2,284,5,5,1
9321,nt,cookingpan3,25,neg2,204,1,23,2,285,4,5,1
9611,b,hanger9,12,neg1,204,1,23,2,286,3,8,1
2390,t,balloon10,53,neu,204,1,23,2,287,5,3,1
6838,b,seashell9,6,neg1,204,1,23,2,288,4,5,0
2590,nt,calculator3,19,neg2,204,1,23,2,289,5,5,0
9415,b,vase15,10,neg1,204,1,23,2,290,3,4,1
3500,nt,toothpaste14,21,neg2,204,1,23,2,291,3,7,1
3300,b,hairbrush9,3,neg1,204,1,23,2,292,5,5,1
2980,t,tennisracquet7,58,neu,204,1,23,2,293,5,5,0
2530,t,cheese8,40,pos,204,1,23,2,294,5,5,1
1340,t,coin15,30,pos,204,1,23,2,295,5,2,1
9909,b,clock1,14,neg1,204,1,23,2,296,3,7,1
2383,t,windchime16,52,neu,204,1,23,2,297,5,3,1
1659,t,button5,32,pos,204,1,23,2,298,5,5,0
9599,nt,dumbbell0,27,neg2,204,1,23,2,299,4,7,1
8120,t,decorativescreen10,44,pos,204,1,23,2,300,3,5,1
9163,nt,cushion2,23,neg2,204,1,23,2,301,2,8,1
6520,b,suitcase9,5,neg1,204,1,23,2,302,3,5,0
9428,b,cookpot16,11,neg1,204,1,23,2,303,3,6,1
2456,nt,hourglass16,17,neg2,204,1,23,2,304,5,5,1
1303,t,scale13,45,neu,204,1,23,2,305,5,5,0
2373,t,glove6,38,pos,204,1,23,2,306,5,5,1
9187,b,compass1,8,neg1,204,1,23,2,307,3,5,0
4626,t,lock14,41,pos,204,1,23,2,308,8,6,1
6821,nt,tent4,22,neg2,204,1,23,2,309,2,7,1
2750,b,cookie1,1,neg1,204,1,23,2,310,5,5,1
9290,b,ringbinder8,9,neg1,204,1,23,2,311,5,5,1
3195,nt,pokercard14,20,neg2,204,1,23,2,312,3,7,1
3216,b,bonzai14,2,neg1,204,1,23,2,313,5,5,1
2345.1,nt,turtle3,16,neg2,204,1,23,2,314,3,7,1
1601,t,rollerskates16,31,pos,204,1,23,2,315,3,5,1
2487,filler,exercise_equipment5,55,neu,204,1,23,2,316,5,5,1
2340,filler,lei9,37,pos,204,1,23,2,317,7,7,1
2309,filler,handbag3,50,neu,204,1,23,2,318,5,5,1
2154,filler,microwave1,36,pos,204,1,23,2,319,7,5,1
2396,filler,frame10,54,neu,204,1,23,2,320,4,5,1
