IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,correct,RT
9424,pre_new,NA,137,neg,25,1,20,1,129,1,1.0899278970000523
2870,filler,clock1,57,neu,25,1,20,1,130,1,0.6988580189999993
2383,t,butterfly8,52,neu,25,1,20,1,131,1,0.6622431060000054
7506,pre_new,NA,176,neu,25,1,20,1,132,1,0.7950309379998544
7234,pre_new,NA,173,neu,25,1,20,1,133,1,0.6867299780001304
4626,t,cookpot16,41,pos,25,1,20,1,134,1,0.678279018000012
1111,pre_new,NA,90,neg,25,1,20,1,135,1,0.6142513210002107
9903,pre_new,NA,147,neg,25,1,20,1,136,1,0.8029240030000437
6838,nt,fan2,6,neg1,25,1,20,1,137,1,0.750240770000346
3500,b,scale13,21,neg2,25,1,20,1,138,1,0.6617007840000042
9075,nt,garbagetrash14,7,neg1,25,1,20,1,139,1,0.5866506880001907
9183,pre_new,NA,125,neg,25,1,20,1,140,1,0.6398512780001511
7057,t,binoculars14,59,neu,25,1,20,1,141,1,0.5504852949998167
2490,b,hanger9,18,neg2,25,1,20,1,142,1,0.6277473679997456
2272,t,bonzai14,47,neu,25,1,20,1,143,1,0.5983707059999688
9184,pre_new,NA,126,neg,25,1,20,1,144,1,0.7052311809998173
2389,pre_new,NA,66,pos,25,1,20,1,145,1,0.801361702000122
2579,pre_new,NA,165,neu,25,1,20,1,146,1,0.5826565919996938
9921,b,umbrella2,29,neg2,25,1,20,1,147,1,0.6001576779999596
1303,filler,lock14,45,neu,25,1,20,1,148,1,1.4133830679998027
9910,b,key3,28,neg2,25,1,20,1,149,1,0.5803416449998622
8330,pre_new,NA,72,pos,25,1,20,1,150,1,0.6853160600003321
2382,t,frame10,51,neu,25,1,20,1,151,1,1.1047262150000279
2530,filler,nunchaku16,40,pos,25,1,20,1,152,1,0.5983418939999865
9902,pre_new,NA,146,neg,25,1,20,1,153,1,0.8055869699996947
7325,t,dresser12,43,pos,25,1,20,1,154,1,0.6124324899997191
2593,pre_new,NA,167,neu,25,1,20,1,155,1,0.8007212799998342
4000,pre_new,NA,170,neu,25,1,20,1,156,1,0.7250185740003872
6315,pre_new,NA,114,neg,25,1,20,1,157,1,0.734572178000235
2191,pre_new,NA,154,neu,25,1,20,1,158,1,0.6008985080002276
7230,t,turtle3,42,pos,25,1,20,1,159,1,0.6491960230000586
3195,b,tape8,20,neg2,25,1,20,1,160,1,0.8081678879998435
2091,t,coin15,35,pos,25,1,20,1,161,1,0.6502676680001969
2391,pre_new,NA,68,pos,25,1,20,1,162,1,0.7600481230001606
2053,pre_new,NA,94,neg,25,1,20,1,163,1,0.7191914229997565
9621,pre_new,NA,143,neg,25,1,20,1,164,1,0.6479430870003853
3216,nt,cheesegrater14,2,neg1,25,1,20,1,165,1,0.9913466459997835
9425,b,lei9,26,neg2,25,1,20,1,166,0,1.37267583799985
2393,pre_new,NA,158,neu,25,1,20,1,167,1,0.7851863269997921
1605,pre_new,NA,80,pos,25,1,20,1,168,1,0.7705156580000221
3350,pre_new,NA,109,neg,25,1,20,1,169,1,0.750886034999894
5833,pre_new,NA,78,pos,25,1,20,1,170,1,0.5999662990002435
3185,pre_new,NA,106,neg,25,1,20,1,171,1,0.5920294679999643
2390,filler,stapler5,53,neu,25,1,20,1,172,1,0.6734221420001631
2095,pre_new,NA,95,neg,25,1,20,1,173,1,0.740307624000252
2749,t,tent4,56,neu,25,1,20,1,174,1,0.8116628800003127
9599,b,ringbinder8,27,neg2,25,1,20,1,175,1,0.7400255479997213
8120,filler,bearteddy16,44,pos,25,1,20,1,176,1,0.5628892800000358
1463,pre_new,NA,81,pos,25,1,20,1,177,1,1.1277522049999789
8232,pre_new,NA,179,neu,25,1,20,1,178,1,0.7185398650003663
2037,pre_new,NA,88,pos,25,1,20,1,179,1,0.6554552029997467
9908,nt,chessboard14,13,neg1,25,1,20,1,180,1,0.6869513010001356
1710,filler,hourglass16,33,pos,25,1,20,1,181,1,0.6697757319998345
2730,pre_new,NA,102,neg,25,1,20,1,182,1,0.8166807349998635
2435,pre_new,NA,161,neu,25,1,20,1,183,1,0.9215435099999922
9427,pre_new,NA,138,neg,25,1,20,1,184,1,0.752123451999978
2309,t,windchime16,50,neu,25,1,20,1,185,1,0.756511717000194
2703,pre_new,NA,101,neg,25,1,20,1,186,1,0.7227754940004161
3300,nt,frisbee0,3,neg1,25,1,20,1,187,1,0.7120807920000516
2456,b,bowtie11,17,neg2,25,1,20,1,188,1,0.8517533070003083
6550,pre_new,NA,115,neg,25,1,20,1,189,1,0.7493769370003065
9600,pre_new,NA,142,neg,25,1,20,1,190,1,0.7699027049998222
1601,t,calculator3,31,pos,25,1,20,1,191,1,0.7003515370001878
3280,pre_new,NA,108,neg,25,1,20,1,192,1,0.7000859180002408
2039,pre_new,NA,93,neg,25,1,20,1,193,1,0.7023235649999151
9611,nt,seashell9,12,neg1,25,1,20,1,194,1,0.7781664009999076
9415,nt,pokercard14,10,neg1,25,1,20,1,195,1,0.8277767380000114
2900,pre_new,NA,104,neg,25,1,20,1,196,1,0.6360939229998621
2373,filler,decorativescreen10,38,pos,25,1,20,1,197,1,0.6710143499999504
3211,pre_new,NA,169,neu,25,1,20,1,198,1,0.5888792790001389
6313,pre_new,NA,113,neg,25,1,20,1,199,1,0.7093964410000808
2750,nt,cheese8,1,neg1,25,1,20,1,200,1,0.7514890070001456
2400,pre_new,NA,159,neu,25,1,20,1,201,1,0.7059889330002989
6520,nt,microwave1,5,neg1,25,1,20,1,202,1,0.6795831650001674
9295,pre_new,NA,127,neg,25,1,20,1,203,1,0.8495916080000825
1419,pre_new,NA,86,pos,25,1,20,1,204,1,0.8216569020000861
2216,pre_new,NA,60,pos,25,1,20,1,205,1,0.800261990999843
9163,b,tennisracquet7,23,neg2,25,1,20,1,206,1,0.7276288690000001
2398,t,rollerskates16,39,pos,25,1,20,1,207,1,0.7620794220001699
