IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,block,intrusion,RT
2390,filler,compass1,53,neu,43,1,20,1,365,0,,0.0
1340,filler,toothpaste14,30,pos,43,1,20,1,366,0,,0.0
2396,filler,suitcase9,54,neu,43,1,20,1,367,0,2,0.837
2273,filler,doorknob4,48,neu,43,1,20,1,368,0,2,0.737
7230,filler,handbag3,42,pos,43,1,20,1,369,0,1,0.987
2870,filler,seashell9,57,neu,43,1,20,1,370,0,0,0.754
1920,filler,glove6,34,pos,43,1,20,1,371,0,2,0.87
2308,filler,garbagetrash14,49,neu,43,1,20,1,372,0,0,1.237
1601,filler,microscope1,31,pos,43,1,20,1,373,0,2,0.637
2154,filler,cheese8,36,pos,43,1,20,1,374,0,1,1.304
2272,t,vase15,47,neu,43,1,20,1,410,1,1,1.071
3216,nt,pokercard14,2,neg1,43,1,20,1,411,1,2,1.337
2530,t,tent4,40,pos,43,1,20,1,412,1,0,0.854
9908,nt,tape8,13,neg1,43,1,20,1,413,1,2,1.454
2309,t,rollerskates16,50,neu,43,1,20,1,414,1,2,0.57
6838,nt,chessboard14,6,neg1,43,1,20,1,415,1,2,0.82
2373,t,windchime16,38,pos,43,1,20,1,416,1,2,0.471
6520,nt,cookie1,5,neg1,43,1,20,1,417,1,,0.0
2980,t,abacus9,58,neu,43,1,20,1,418,1,2,0.77
7325,t,backpack6,43,pos,43,1,20,1,419,1,1,1.054
2487,t,coin15,55,neu,43,1,20,1,420,1,2,0.336
9909,nt,cheesegrater14,14,neg1,43,1,20,1,421,1,0,0.987
1303,t,camera7,45,neu,43,1,20,1,422,1,2,0.37
4626,t,ringbinder8,41,pos,43,1,20,1,423,1,1,1.004
9075,nt,decorativescreen10,7,neg1,43,1,20,1,424,1,0,0.921
2398,t,stapler5,39,pos,43,1,20,1,425,1,0,1.037
9611,nt,bowtie11,12,neg1,43,1,20,1,426,1,1,0.437
2750,nt,frame10,1,neg1,43,1,20,1,427,1,1,0.937
2382,t,balloon10,51,neu,43,1,20,1,428,1,0,0.454
2383,t,fan2,52,neu,43,1,20,1,429,1,2,0.404
1710,t,calculator3,33,pos,43,1,20,1,430,1,1,0.837
9415,nt,umbrella2,10,neg1,43,1,20,1,431,1,2,0.57
